State,Name,District,Party,Committees
1st,"Moore, Barry",R,1511 LHOB,(202) 225-2901
2nd,"Figures, Shomari",D,225 CHOB,(202) 225-4931
3rd,"Rogers, Mike",R,2469 RHOB,(202) 225-3261
4th,"Aderholt, Robert",R,272 CHOB,(202) 225-4876
5th,"Strong, Dale",R,449 CHOB,(202) 225-4801
6th,"Palmer, Gary",R,170 CHOB,(202) 225-4921
7th,"Sewell, Terri",D,1035 LHOB,(202) 225-2665
1st,"Moore, Barry",R,1511 LHOB,(202) 225-2901
2nd,"Figures, Shomari",D,225 CHOB,(202) 225-4931
3rd,"Rogers, Mike",R,2469 RHOB,(202) 225-3261
